title,artist,sourceAlias,source,collection,link,bvid,page,pubdate,pubdateFormatted,exclusionReason
気まぐれロマンティック,いきものがかり,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=1,BV1SrEJ6DEVB,1,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
青春ライン,いきものがかり,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=2,BV1SrEJ6DEVB,2,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
空色デイズ,中川翔子,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=5,BV1SrEJ6DEVB,5,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
"NO, Thank You!",放課後ティータイム,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=6,BV1SrEJ6DEVB,6,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
いけないボーダーライン,ワルキューレ,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=7,BV1SrEJ6DEVB,7,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
ホタルノヒカリ,いきものがかり,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=8,BV1SrEJ6DEVB,8,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
そばかす,JUDY AND MARY,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=11,BV1SrEJ6DEVB,11,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
YUME日和,島谷ひとみ,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=12,BV1SrEJ6DEVB,12,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
勇者,YOASOBI,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=15,BV1SrEJ6DEVB,15,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
百花繚乱,幾田りら,茨むあん,ibaramuan.js,【歌切】[2026-06-05]动漫、术力口很多！初次见面的朋友也请一定来🌟 Muan ch.茨むあん,https://www.bilibili.com/video/BV1SrEJ6DEVB?p=16,BV1SrEJ6DEVB,16,1780756433,2026-06-06 22:33:53,仅合集/视频标题含术力口上下文，歌名/歌手字段无直接证据，未纳入正式结果
