title,artist_variants,occurrence_count,source_count,latest_upload_time,latest_source,latest_link,sources,bvids,reasons,normalized_title
アンヘル,かいりきベア feat. 鳴花ミコト,1,1,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=20,茨むあん,BV1aeNc6qE67,"音源/术力口词:v flower
P主/术力口作者:かいりきベア",アンヘル
Booo!,"TOKOTOKO（西沢さんP） feat. 音街ウナ
TOKOTOKO(西沢さんP) feat.音街ウナ
TOKOTOKO(西沢さんP)
TOKOTOKO
西沢さんP
西沢さんP／音街ウナ
TOKOTOKO（西沢さんP）
TOKOTOKO(西沢さんP)（涼海ネモ）",17,12,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=21,"茨むあん
非常驻妹妹
澄花
からくりんね-KarakuRinne
すとらてぃあ-Stratia
凛々咲
紅葉丸
稀羽すう
天ノ譜ステラ
Figaro
花丸晴琉
接力","BV1aeNc6qE67
BV1ggjs6hECr
BV1CAj56sEjm
BV1hHEo6FESX
BV13ELV6aEJa
BV1SZ5A6cE1E
BV1ZTRJBDEc6
BV1g4QxBHEPK
BV1Qh9JB3EUL
BV1QMAcz2Eqn
BV16TwUzfEXQ
BV1RUyQB2Eve
BV1QaJ5zxEFu
BV1p3ktYtEMX
BV1jaYQeUEgM
BV1wt421j7gT","音源/术力口词:音街ウナ
P主/术力口作者:西沢さんP",booo
天ノ弱,"164 feat. GUMI
164 feat.GUMI
164",34,20,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=22,"茨むあん
323
山田シャロ
知悠
联动
非常驻妹妹
みなとん
からくりんね-KarakuRinne
CULUA
ななし律歌
ロマニードットアイオー
凛々咲
朱名
明日夢かなえ
天ノ譜ステラ
なれたん
來-Ray-
稀羽すう
天籠りのん
むんもっしゅ","BV1aeNc6qE67
BV18VME6RE4c
BV1DHMw6VESA
BV1VtTw67EA6
BV1bkKR69EJ8
BV1RMTN6oEqr
BV1x27s6fEYa
BV19ojH6hEX6
BV1nzjk6eECv
BV1LTj76JEor
BV17uJK6FENf
BV1YYJ561Ewd
BV1JCEn6uEam
BV17nVu6oEKV
BV1daVs6eE2r
BV1YTLa6QEPp
BV12B5o6CEqa
BV1m69JBNEm7
BV167c2znErj
BV1x7wwziE4X
BV1GHNgz2E9x
BV1MEP8z4E1J
BV1yafgB7EGf
BV12uc5ziEQZ
BV1wUZcBQEBo
BV11GZtBcEsp
BV1JR6GBvEN1
BV1HukiB3E8c
BV1ntNpzcE9t
BV1MFzpYSEd7
BV13FhteiER2
BV1UU411Z7W6
BV1ec411Y7vF","音源/术力口词:GUMI/Megpoid
P主/术力口作者:164
已知术力口曲名:天ノ弱",天ノ弱
失敗作少女,かいりきベア feat. 初音ミク,1,1,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=23,茨むあん,BV1aeNc6qE67,"音源/术力口词:初音ミク
P主/术力口作者:かいりきベア",失敗作少女
ジェヘナ,"wotaku feat. 初音ミク
wotaku feat.初音ミク
wotaku
かいりきベア feat. 初音ミク",16,6,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=24,"茨むあん
一色イズ
緋那ちび
非常驻妹妹
明日夢かなえ
Figaro","BV1aeNc6qE67
BV1MKMx6CESc
BV179Tn6GETr
BV1N77J65EsU
BV17iJp61E9G
BV1aPEU6zEqo
BV1RU5q6NEWF
BV1JRwUzoEpM
BV1GHNgz2E9x
BV15Xciz2EY2
BV1LN2XBXEGp
BV1RUyQB2Eve
BV1VhJNzKEow
BV1p3ktYtEMX
BV1MQ3KeXEXG
BV1k2421M7PJ","音源/术力口词:初音ミク
P主/术力口作者:wotaku
P主/术力口作者:かいりきベア",ジェヘナ
四季折の羽,"ひとしずくP×やま△ feat. 鏡音リン・鏡音レン
ひとしずくP feat. 鏡音レン",2,2,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=25,"茨むあん
CULUA","BV1aeNc6qE67
BV1vpMb6bEjR",音源/术力口词:鏡音リン/レン,四季折の羽
雨き声残響,"Orangestar feat. IA
Orangestar feat.IA
Orangestar",10,7,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=29,"茨むあん
非常驻妹妹
接力
CULUA
紅葉丸
來-Ray-
Figaro","BV1aeNc6qE67
BV1hrKR6sEYT
BV1RMTN6oEqr
BV1vgjk6WEBv
BV1h3EE6pEab
BV1PW5c62Ene
BV1oHAVzxE2q
BV1ZAP3z9EX4
BV167MWzqEcX
BV1FJaneYEr1","音源/术力口词:IA
P主/术力口作者:Orangestar
已知术力口曲名:雨き声残響",雨き声残響
夕景イエスタデイ,"じん feat. IA
じん
じん feat.IA
じん(自然の敵P)",9,7,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=30,"茨むあん
鈴花いのり
非常驻妹妹
紅葉丸
透夏
天ノ譜ステラ
よしか🦍","BV1aeNc6qE67
BV1QgKS63E8t
BV191j465EdE
BV1SrEJ6DEVB
BV1ooEP6sEn3
BV1ybVk68EiS
BV1XoXtBaETd
BV1QMAcz2Eqn
BV1qmageYEZE","音源/术力口词:IA
P主/术力口作者:じん
已知术力口曲名:夕景イエスタデイ",夕景イエスタデイ
夏の半券,"みきとP feat. 初音ミク
みきとP feat.初音ミク
みきとP",16,4,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=32,"茨むあん
Figaro
联动
來-Ray-","BV1aeNc6qE67
BV1aJjk67EUv
BV1htL66gEte
BV1hFR8BTEVN
BV18XdHBQErd
BV1ojcQz4Eno
BV1ZAP3z9EX4
BV1M6cHzbELL
BV1A4YuzaEat
BV1rdgsz7EoX
BV1S15dzFERQ
BV1ftBnYZEm6
BV1E6aQeJEpK
BV1m63CeREuT
BV1jZ3TeqEFV
BV14F4m1w7uq","音源/术力口词:初音ミク
P主/术力口作者:みきとP",夏の半券
レクイエム,"Kanaria feat. 星街すいせい
Kanaria feat.星街すいせい
Kanaria feat. GUMI
Kanaria",6,5,2026-07-11 21:00:21,茨むあん,https://www.bilibili.com/video/BV1aeNc6qE67?p=33,"茨むあん
323
知悠
凛々咲
天籠りのん","BV1aeNc6qE67
BV1UNNj6rEXo
BV1KNwXzmEAV
BV1JR6GBvEN1
BV1eDyQBLEtK
BV1UU411Z7W6","P主/术力口作者:Kanaria
音源/术力口词:GUMI/Megpoid",レクイエム
